mz,rel.intensity,sample,fullsample,,,
509.2883006,0.95,ko5,ko5_1,,,
522.2835213,1.89,ko5,ko5_1,,,
524.2992245,4.09,ko5,ko5_1,,,
540.3305501,0.53,ko5,ko5_1,,,
544.2680564,0.8,ko5,ko5_1,,,
546.2836596,0.68,ko5,ko5_1,,,
555.2726739,0.45,ko5,ko5_1,,,
591.4030314,0.82,ko5,ko5_1,,,
617.4187729,1.13,ko5,ko5_1,,,
662.4401446,1.28,ko5,ko5_1,,,
664.4559478,9.1,ko5,ko5_1,,,
665.4272494,0.42,ko5,ko5_1,,,
665.4591494,3.14,ko5,ko5_1,,,
676.4559669,0.71,ko5,ko5_1,,,
678.4714701,1.28,ko5,ko5_1,,,
691.5021909,0.44,ko5,ko5_1,,,
716.5150307,0.53,ko5,ko5_1,,,
727.5472483,1.76,ko5,ko5_1,,,
728.5508499,0.69,ko5,ko5_1,,,
728.5711499,0.8,ko5,ko5_1,,,
729.5627515,1.01,ko5,ko5_1,,,
730.5395531,1.42,ko5,ko5_1,,,
730.5666531,0.39,ko5,ko5_1,,,
731.5427547,0.8,ko5,ko5_1,,,
732.4127561,1.38,ko5,ko5_1,,,
732.5461563,0.41,ko5,ko5_1,,,
735.516061,0.86,ko5,ko5_1,,,
735.5562611,0.38,ko5,ko5_1,,,
740.514869,0.58,ko5,ko5_1,,,
744.5286754,0.36,ko5,ko5_1,,,
752.5595882,5.73,ko5,ko5_1,,,
754.5027912,0.44,ko5,ko5_1,,,
758.5709977,0.53,ko5,ko5_1,,,
761.5318024,0.6,ko5,ko5_1,,,
762.5440041,1.04,ko5,ko5_1,,,
763.5461057,0.37,ko5,ko5_1,,,
765.5185088,1.7,ko5,ko5_1,,,
773.5327216,3.17,ko5,ko5_1,,,
773.5630216,0.8,ko5,ko5_1,,,
774.459623,2.06,ko5,ko5_1,,,
775.4632246,0.88,ko5,ko5_1,,,
775.5473248,2.95,ko5,ko5_1,,,
775.5692248,0.51,ko5,ko5_1,,,
775.5968248,0.94,ko5,ko5_1,,,
776.5598264,3.37,ko5,ko5_1,,,
778.5572296,0.85,ko5,ko5_1,,,
778.5741296,0.98,ko5,ko5_1,,,
779.5415311,1.05,ko5,ko5_1,,,
780.5726328,0.52,ko5,ko5_1,,,
781.5474343,0.36,ko5,ko5_1,,,
781.5844344,0.62,ko5,ko5_1,,,
782.5342359,0.98,ko5,ko5_1,,,
790.5394487,1.58,ko5,ko5_1,,,
794.533955,0.68,ko5,ko5_1,,,
797.5810599,0.87,ko5,ko5_1,,,
797.65436,0.77,ko5,ko5_1,,,
798.6577616,0.31,ko5,ko5_1,,,
799.527663,0.63,ko5,ko5_1,,,
808.5497773,0.64,ko5,ko5_1,,,
810.5652806,1.07,ko5,ko5_1,,,
822.5653997,0.73,ko5,ko5_1,,,
850.5751443,0.36,ko5,ko5_1,,,
865.5468681,0.56,ko5,ko5_1,,,
859.5479586,0.44,ko5,ko5_1,,,
859.6909588,0.29,ko5,ko5_1,,,
865.5469681,0.56,ko5,ko5_1,,,
869.5549745,3.27,ko5,ko5_1,,,
909.6372384,0.32,ko5,ko5_1,,,
917.539851,0.53,ko5,ko5_1,,,
920.5501558,0.38,ko5,ko5_1,,,
509.2884006,1.19,ko5,ko5_2,,,
522.2836213,1.89,ko5,ko5_2,,,
524.2993245,4.54,ko5,ko5_2,,,
540.3303501,0.52,ko5,ko5_2,,,
544.2679564,0.84,ko5,ko5_2,,,
546.2838596,0.64,ko5,ko5_2,,,
555.2727739,0.5,ko5,ko5_2,,,
591.4031314,0.77,ko5,ko5_2,,,
617.4188729,1.24,ko5,ko5_2,,,
665.4276494,0.5,ko5,ko5_2,,,
676.4558669,0.56,ko5,ko5_2,,,
